ID,NAME,TYPE,LAT,LON
1,BFF Climb,Boulder,1.340481531,103.7822785
2,"BoulderMovement, DownTown OUE",Boulder,1.278216965,103.8492412
3,"BoulderMovement, Tai Seng",Boulder,1.336707225,103.888352
4,"BoulderMovement, Rochor",Boulder,1.305309798,103.8514261
5,Boruda,Boulder,1.280307755,103.8053815
6,BoulderWorld,Boulder,1.319357971,103.8948615
7,BoulderPlanet,Boulder,1.442285635,103.8252286
8,Boulder+ Gym,Boulder,1.310078802,103.8631825
9,B8a,Boulder,1.343660394,103.9416143
10,Kinetics,Boulder,1.314907675,103.8573801
11,LightHouse,Boulder,1.275168402,103.7943266
12,OYEYO Boulder Home,Boulder,1.307482224,103.8467175
13,Z-Vertigo Boulder Gym,Boulder,1.343293839,103.7758207
14,"Climb Central, Kallang",Mixed,1.302965825,103.8736177
15,"Climb Central, Katong",Mixed,1.305711715,103.9048809
16,"Climb Central, Funan",Mixed,1.2913821,103.8502168
17,"Climb Central, Novena",Mixed,1.320812627,103.8438862
18,FitBloc,Mixed,1.29026161,103.7906187
19,GroundUp,Mixed,1.316001728,103.8562428
20,T-Hall,Mixed,1.304966446,103.8622404
21,"The Rock School, Bedok CC",Mixed,1.324750468,103.9360205
22,"The Rock School, Our Tampines Hub",Mixed,1.354274693,103.9404177
23,"Safra, Yishun",Mixed,1.425295736,103.840488
24,UpWall Climbing,HighWall,1.376174043,103.955769
25,Boys' Town Adventure Centre,Restricted,1.37420244,103.7669683
26,The Cliff @SnowCity,Restricted,1.339046588,103.7349125
27,Verticlimb Singapore,Restricted,1.328045333,103.7483089